,initial_radius,acoustic_pressure,frequency,temperature,density,viscosity,surface_tension,sound_velocity,vapor_pressure,RP_dynamical_threshold,RP_mach_number,RP_near_zero,RP_max_velocity,RP_critical_transition,KM_dynamical_threshold,KM_mach_number,KM_near_zero,KM_max_velocity,KM_critical_transition,G_dynamical_threshold,G_mach_number,G_near_zero,G_max_velocity,G_critical_transition,critical_maximum,RP_expansion_radius,KM_expansion_radius,G_expansion_radius,RP_acoustic_emissions,KM_acoustic_emissions,G_acoustic_emissions,count
9308,7.333333333333334e-06,200000.0,1780000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,1,1,"(False, True)",-5.624026365035398,"(1.1337496169021264, 1.1316194507593846)",1,1,"(False, True)",-5.735154678708916,"(1.1378884090512622, 1.1378884090512622)",0,1,"(False, True)",-7.509776205869391,"(1.1393883176178186, 1.139694318599573)",21.62140252320796,1,1,1,1,1,1,11
9309,7.333333333333334e-06,200000.0,2000000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,1,1,"(False, True)",-5.83993558960605,"(1.108790891049215, 1.108790891049215)",0,1,"(False, True)",-5.890798850530301,"(1.1087463740719758, 1.1134837721007056)",1,1,"(False, True)",-7.706054109260783,"(1.1157494263128482, 1.1157913866569962)",21.62140252320796,1,1,1,1,1,1,11
9310,7.333333333333334e-06,511111.1111111111,20000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,1,0,"(False, False)",17.346265428790357,"(50.88639019068733, 50.88639019068733)",0,1,"(False, False)",-0.0412420747185152,"(-1, 52.09577106617672)",1,0,"(False, False)",16.803246618767623,"(209815481702.1492, 51.20130778325422)",21.62140252320796,0,0,0,1,0,0,4
9311,7.333333333333334e-06,511111.1111111111,240000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,1,0,"(False, True)",2.5924194082272947,"(9.649534543668777, 9.649534543668777)",0,1,"(False, False)",-0.0757613579611258,"(-1, 5.98119899809631)",0,1,"(False, False)",-2.0268492290489264,"(1.2017533116440986, 4.924517974135074)",21.62140252320796,1,1,1,0,0,0,6
9312,7.333333333333334e-06,511111.1111111111,460000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,0,0,"(False, False)",2.150976175723339,"(1.8741325758917649, 2.890036124843802)",0,1,"(False, False)",-0.5763786913981982,"(1.0855674203291514, 4.0413524432568515)",1,1,"(False, False)",-2.4084143794820387,"(2.1716591484079544, 4.123631463414922)",21.62140252320796,1,1,1,0,0,0,6
9313,7.333333333333334e-06,511111.1111111111,680000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,0,1,"(False, False)",-0.1133475165693434,"(1.038525411430923, 4.508061039814105)",0,1,"(False, False)",-1.287298793490103,"(1.045711176786278, 3.1510060719123865)",0,1,"(False, False)",-3.2968107425055257,"(1.1528814622762873, 3.1929315847120656)",21.62140252320796,1,1,1,0,0,0,6
9314,7.333333333333334e-06,511111.1111111111,900000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,0,1,"(False, False)",-0.0214070789908782,"(0.908683532357011, 3.739907640228427)",1,1,"(False, False)",-1.6336984186761765,"(1.0389041335202671, 3.0123695902547483)",0,1,"(False, False)",-3.4605628185985107,"(1.213475190758056, 2.8091067732261954)",21.62140252320796,1,1,1,0,0,0,7
9315,7.333333333333334e-06,511111.1111111111,1120000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,0,1,"(False, False)",-0.0643093599420976,"(1.0719298227760523, 3.603198976957334)",1,1,"(False, False)",-1.7982430810469507,"(1.1614084780155236, 2.930660331286764)",0,1,"(False, False)",-4.2550358851235615,"(1.0562314208380088, 2.4561003264484897)",21.62140252320796,1,1,1,0,0,0,7
9316,7.333333333333334e-06,511111.1111111111,1340000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,0,1,"(False, False)",-3.087132159535476,"(0.8251425454212535, 1.7977275127592292)",1,1,"(False, False)",-3.9925559183643102,"(2.1197615188870147, 1.9148897080784173)",0,1,"(False, False)",-5.377235143651154,"(1.0651442584673925, 1.6975023548935633)",21.62140252320796,1,1,1,1,1,1,10
9317,7.333333333333334e-06,511111.1111111111,1560000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,1,1,"(False, False)",-4.016499130962562,"(0.9362023620645681, 1.8268228595762488)",0,1,"(False, False)",-4.264481361541401,"(0.899894020252438, 1.3967103025968148)",0,1,"(False, True)",-5.989038223180324,"(0.9976652874240385, 1.3974018742111969)",21.62140252320796,1,1,1,1,1,1,10
